Designator,Mid X,Mid Y,Rotation,Layer
U516,451.8,-344.4,270.0,top
U517,440.6,-400.4,90.0,top
U518,440.6,-389.2,90.0,top
U519,440.6,-378.0,90.0,top
U52,418.2,-635.6,90.0,top
U520,440.6,-366.8,90.0,top
U521,440.6,-355.6,90.0,top
U522,440.6,-344.4,90.0,top
U523,429.4,-400.4,270.0,top
U524,429.4,-389.200001,270.0,top
U525,429.4,-378.0,270.0,top
U526,429.4,-366.8,270.0,top
U527,429.4,-355.6,270.0,top
U528,429.4,-344.4,270.0,top
U529,418.2,-400.4,90.0,top
U53,418.2,-624.4,90.0,top
U530,418.2,-389.200001,90.0,top
U531,418.2,-378.000001,90.0,top
U532,418.2,-366.8,90.0,top
U533,418.2,-355.6,90.0,top
U534,418.2,-344.4,90.0,top
U535,407.0,-400.4,270.0,top
U536,407.0,-389.200001,270.0,top
U537,407.0,-378.000001,270.0,top
U538,407.0,-366.8,270.0,top
U539,407.0,-355.6,270.0,top
U54,418.2,-613.2,90.0,top
U540,407.0,-344.4,270.0,top
U541,463.0,-478.8,90.0,top
U542,463.0,-490.0,90.0,top
U543,463.0,-501.2,90.0,top
U544,463.0,-512.4,90.0,top
U545,463.0,-523.6,90.0,top
U546,463.0,-534.8,90.0,top
U547,474.2,-478.8,270.0,top
U548,474.2,-490.0,270.0,top
U549,474.2,-501.2,270.0,top
U55,407.0,-669.2,270.0,top
U550,474.2,-512.4,270.0,top
U551,474.2,-523.6,270.0,top
U552,474.2,-534.8,270.0,top
U553,485.4,-478.8,90.0,top
U554,485.4,-489.999999,90.0,top
U555,485.4,-501.2,90.0,top
U556,485.4,-512.4,90.0,top
U557,485.4,-523.6,90.0,top
U558,485.4,-534.8,90.0,top
U559,496.6,-478.8,270.0,top
U56,407.0,-658.000001,270.0,top
U560,496.6,-489.999999,270.0,top
U561,496.6,-501.199999,270.0,top
U562,496.6,-512.4,270.0,top
U563,496.6,-523.6,270.0,top
U564,496.6,-534.8,270.0,top
U565,507.8,-478.8,90.0,top
